type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,NBFC Unrated,1Y,Zero coupon,5.363,5.363,5.363
Rating,FIMMDA,NBFC Unrated,2Y,Zero coupon,5.525,5.525,5.525
Rating,FIMMDA,NBFC Unrated,3Y,Zero coupon,5.625,5.625,5.625
Rating,FIMMDA,NBFC Unrated,4Y,Zero coupon,5.65,5.65,5.65
Rating,FIMMDA,NBFC Unrated,5Y,Zero coupon,5.675,5.675,5.675
Rating,FIMMDA,NBFC Unrated,6Y,Zero coupon,5.625,5.625,5.625
Rating,FIMMDA,NBFC Unrated,7Y,Zero coupon,5.6,5.6,5.6
Rating,FIMMDA,NBFC Unrated,8Y,Zero coupon,5.65,5.65,5.65
Rating,FIMMDA,NBFC Unrated,9Y,Zero coupon,5.65,5.65,5.65
Rating,FIMMDA,NBFC Unrated,10Y,Zero coupon,5.625,5.625,5.625
Rating,FIMMDA,CORP AAA,6M,Zero coupon,0.77,0.77,0.77
Rating,FIMMDA,CORP AAA,1Y,Zero coupon,0.68,0.68,0.68
Rating,FIMMDA,CORP AAA,2Y,Zero coupon,0.84,0.84,0.84
Rating,FIMMDA,CORP AAA,3Y,Zero coupon,0.95,0.95,0.95
Rating,FIMMDA,CORP AAA,4Y,Zero coupon,0.97,0.97,0.97
Rating,FIMMDA,CORP AAA,5Y,Zero coupon,1.0,1.0,1.0
Rating,FIMMDA,CORP AAA,6Y,Zero coupon,0.97,0.97,0.97
Rating,FIMMDA,CORP AAA,7Y,Zero coupon,0.93,0.93,0.93
Rating,FIMMDA,CORP AAA,8Y,Zero coupon,0.95,0.95,0.95
Rating,FIMMDA,CORP AAA,9Y,Zero coupon,0.95,0.95,0.95
Rating,FIMMDA,CORP AAA,10Y,Zero coupon,0.95,0.95,0.95
Rating,FIMMDA,CORP AA+,6M,Zero coupon,1.06,1.06,1.06
Rating,FIMMDA,CORP AA+,1Y,Zero coupon,0.97,0.97,0.97
Rating,FIMMDA,CORP AA+,2Y,Zero coupon,1.11,1.11,1.11
Rating,FIMMDA,CORP AA+,3Y,Zero coupon,1.21,1.21,1.21
Rating,FIMMDA,CORP AA+,4Y,Zero coupon,1.23,1.23,1.23
Rating,FIMMDA,CORP AA+,5Y,Zero coupon,1.24,1.24,1.24
Rating,FIMMDA,CORP AA+,6Y,Zero coupon,1.21,1.21,1.21
Rating,FIMMDA,CORP AA+,7Y,Zero coupon,1.19,1.19,1.19
Rating,FIMMDA,CORP AA+,8Y,Zero coupon,1.22,1.22,1.22
Rating,FIMMDA,CORP AA+,9Y,Zero coupon,1.23,1.23,1.23
Rating,FIMMDA,CORP AA+,10Y,Zero coupon,1.23,1.23,1.23
Rating,FIMMDA,CORP AA,6M,Zero coupon,1.31,1.31,1.31
Rating,FIMMDA,CORP AA,1Y,Zero coupon,1.23,1.23,1.23
Rating,FIMMDA,CORP AA,2Y,Zero coupon,1.37,1.37,1.37
Rating,FIMMDA,CORP AA,3Y,Zero coupon,1.46,1.46,1.46
Rating,FIMMDA,CORP AA,4Y,Zero coupon,1.49,1.49,1.49
Rating,FIMMDA,CORP AA,5Y,Zero coupon,1.52,1.52,1.52
Rating,FIMMDA,CORP AA,6Y,Zero coupon,1.49,1.49,1.49
Rating,FIMMDA,CORP AA,7Y,Zero coupon,1.46,1.46,1.46
Rating,FIMMDA,CORP AA,8Y,Zero coupon,1.48,1.48,1.48
Rating,FIMMDA,CORP AA,9Y,Zero coupon,1.49,1.49,1.49
Rating,FIMMDA,CORP AA,10Y,Zero coupon,1.48,1.48,1.48
Rating,FIMMDA,CORP AA-,6M,Zero coupon,1.66,1.66,1.66
Rating,FIMMDA,CORP AA-,1Y,Zero coupon,1.57,1.57,1.57
Rating,FIMMDA,CORP AA-,2Y,Zero coupon,1.68,1.68,1.68
Rating,FIMMDA,CORP AA-,3Y,Zero coupon,1.74,1.74,1.74
Rating,FIMMDA,CORP AA-,4Y,Zero coupon,1.8,1.8,1.8
Rating,FIMMDA,CORP AA-,5Y,Zero coupon,1.88,1.88,1.88
Rating,FIMMDA,CORP AA-,6Y,Zero coupon,1.86,1.86,1.86
Rating,FIMMDA,CORP AA-,7Y,Zero coupon,1.84,1.84,1.84
Rating,FIMMDA,CORP AA-,8Y,Zero coupon,1.89,1.89,1.89
Rating,FIMMDA,CORP AA-,9Y,Zero coupon,1.9,1.9,1.9
Rating,FIMMDA,CORP AA-,10Y,Zero coupon,1.92,1.92,1.92
Rating,FIMMDA,CORP A+,6M,Zero coupon,2.66,2.66,2.66
Rating,FIMMDA,CORP A+,1Y,Zero coupon,2.57,2.57,2.57
Rating,FIMMDA,CORP A+,2Y,Zero coupon,2.68,2.68,2.68
Rating,FIMMDA,CORP A+,3Y,Zero coupon,2.75,2.75,2.75
Rating,FIMMDA,CORP A+,4Y,Zero coupon,2.81,2.81,2.81
